ANIO,TRIMESTRE,RUBRO,MONTO
2016,4,VEHICULOS,255308.0
2016,4,VIATICOS,496289.0
2017,1,PASAJES,155489.0
2017,1,PUBLICIDAD,0.0
2017,1,TELEFONIA,550628.0
2017,1,VEHICULOS,200023.0
2017,1,VIATICOS,491867.0
2017,2,PASAJES,280598.0
2017,2,PUBLICIDAD,0.0
2017,2,TELEFONIA,552845.0
2017,2,VEHICULOS,277523.0
2017,2,VIATICOS,803278.0
2017,3,PASAJES,282119.0
2017,3,PUBLICIDAD,0.0
2017,3,TELEFONIA,557255.0
2017,3,VEHICULOS,313369.0
2017,3,VIATICOS,800764.0
2017,4,PASAJES,319938.0
2017,4,PUBLICIDAD,0.0
2017,4,TELEFONIA,536927.0
2017,4,VEHICULOS,376013.0
2017,4,VIATICOS,521763.0
2018,1,PASAJES,168281.0
2018,1,PUBLICIDAD,0.0
2018,1,TELEFONIA,111652.0
2018,1,VEHICULOS,190583.0
2018,1,VIATICOS,493918.0
2018,2,PASAJES,194205.0
2018,2,PUBLICIDAD,0.0
2018,2,TELEFONIA,123630.0
2018,2,VEHICULOS,322745.0
2018,2,VIATICOS,572204.0
2018,3,PASAJES,202242.0
2018,3,PUBLICIDAD,0.0
2018,3,TELEFONIA,92045.0
2018,3,VEHICULOS,240994.0
2018,3,VIATICOS,557491.0
2018,4,PASAJES,290753.0
2018,4,PUBLICIDAD,0.0
2018,4,TELEFONIA,120684.0
2018,4,VEHICULOS,392121.0
2018,4,VIATICOS,508415.0
2019,1,PASAJES,190944.0
2019,1,PUBLICIDAD,0.0
2019,1,TELEFONIA,827727.0
2019,1,VEHICULOS,210273.0
2019,1,VIATICOS,439739.0
2019,2,PASAJES,214693.0
2019,2,PUBLICIDAD,0.0
2019,2,TELEFONIA,826025.0
2019,2,VEHICULOS,144441.0
2019,2,VIATICOS,513506.0
2019,3,PASAJES,196406.0
2019,3,PUBLICIDAD,0.0
2019,3,TELEFONIA,107002.0
2019,3,VEHICULOS,251469.0
2019,3,VIATICOS,773554.0
2019,4,PASAJES,246407.0
2019,4,PUBLICIDAD,0.0
2019,4,TELEFONIA,107665.0
2019,4,VEHICULOS,295213.0
2019,4,VIATICOS,496115.0
2020,1,PASAJES,169781.0
2020,1,PUBLICIDAD,0.0
2020,1,TELEFONIA,74218.0
2020,1,VEHICULOS,144776.0
2020,1,VIATICOS,505976.0
2020,2,PASAJES,22065.0
2020,2,PUBLICIDAD,0.0
2020,2,TELEFONIA,147543.0
2020,2,VEHICULOS,111514.0
2020,2,VIATICOS,700245.0
2020,3,PASAJES,5636.0
2020,3,PUBLICIDAD,0.0
2020,3,TELEFONIA,146086.0
2020,3,VEHICULOS,159453.0
2020,3,VIATICOS,40403.0
2020,4,PASAJES,28938.0
2020,4,PUBLICIDAD,0.0
2020,4,TELEFONIA,143550.0
2020,4,VEHICULOS,371733.0
2020,4,VIATICOS,141474.0
2021,1,PASAJES,83448.0
2021,1,PUBLICIDAD,0.0
2021,1,TELEFONIA,176600.0
2021,1,VEHICULOS,76981.0
2021,1,VIATICOS,124897.0
2021,2,PASAJES,44729.0
2021,2,PUBLICIDAD,0.0
2021,2,TELEFONIA,138693.0
2021,2,VEHICULOS,145130.0
2021,2,VIATICOS,198665.0
2021,3,PASAJES,54176.0
2021,3,PUBLICIDAD,0.0
2021,3,TELEFONIA,139955.0
2021,3,VEHICULOS,159855.0
2021,3,VIATICOS,152534.0
2021,4,PASAJES,72186.0
2021,4,PUBLICIDAD,0.0
2021,4,TELEFONIA,138275.0
2021,4,VEHICULOS,286323.0
2021,4,VIATICOS,209662.0
2022,1,PASAJES,52209.0
2022,1,PUBLICIDAD,0.0
2022,1,TELEFONIA,122723.0
2022,1,VEHICULOS,132051.0
2022,1,VIATICOS,900516.0
2022,2,PASAJES,111438.0
2022,2,PUBLICIDAD,0.0
2022,2,TELEFONIA,105226.0
2022,2,VEHICULOS,141558.0
2022,2,VIATICOS,286055.0
2022,3,PASAJES,162354.0
2022,3,PUBLICIDAD,0.0
2022,3,TELEFONIA,122723.0
2022,3,VEHICULOS,197454.0
2022,3,VIATICOS,305122.0
2022,4,PASAJES,162378.0
2022,4,PUBLICIDAD,0.0
2022,4,TELEFONIA,110815.0
2022,4,VEHICULOS,430457.0
2022,4,VIATICOS,349787.0
2023,1,PASAJES,72174.0
2023,1,PUBLICIDAD,0.0
2023,1,TELEFONIA,119598.0
2023,1,VEHICULOS,253150.0
2023,1,VIATICOS,248545.0
2023,2,PASAJES,188836.0
2023,2,PUBLICIDAD,0.0
2023,2,TELEFONIA,126246.0
2023,2,VEHICULOS,259760.0
2023,2,VIATICOS,423183.0
2023,3,PASAJES,211772.0
2023,3,PUBLICIDAD,0.0
2023,3,TELEFONIA,126246.0
2023,3,VEHICULOS,321411.0
2023,3,VIATICOS,423183.0
2023,4,PASAJES,255533.0
2023,4,PUBLICIDAD,0.0
2023,4,TELEFONIA,127642.0
2023,4,VEHICULOS,462445.0
2023,4,VIATICOS,436736.0
2024,1,PASAJES,176688.0
2024,1,PUBLICIDAD,0.0
2024,1,TELEFONIA,130687.0
2024,1,VEHICULOS,210302.0
2024,1,VIATICOS,469574.0
2024,2,PASAJES,265149.0
2024,2,PUBLICIDAD,0.0
2024,2,TELEFONIA,129950.0
2024,2,VEHICULOS,292444.0
2024,2,VIATICOS,616626.0
2024,3,PASAJES,320535.0
2024,3,PUBLICIDAD,0.0
2024,3,TELEFONIA,131423.0
2024,3,VEHICULOS,242546.0
2024,3,VIATICOS,645172.0
2024,4,PASAJES,326256.0
2024,4,PUBLICIDAD,0.0
2024,4,TELEFONIA,110968.0
2024,4,VEHICULOS,588659.0
2024,4,VIATICOS,593846.0
2025,1,PASAJES,185000.0
2025,1,PUBLICIDAD,0.0
2025,1,TELEFONIA,116103.0
2025,1,VEHICULOS,204616.0
2025,1,VIATICOS,645172.0
2025,2,PASAJES,279198.0
2025,2,PUBLICIDAD,0.0
2025,2,TELEFONIA,115940.0
2025,2,VEHICULOS,346319.0
2025,2,VIATICOS,735359.0
2025,3,PASAJES,318144.0
2025,3,PUBLICIDAD,0.0
2025,3,TELEFONIA,124630.0
2025,3,VEHICULOS,253523.0
2025,3,VIATICOS,674971.0
2025,4,PASAJES,235496.0
2025,4,PUBLICIDAD,0.0
2025,4,TELEFONIA,108895.0
2025,4,VEHICULOS,317092.0
2025,4,VIATICOS,696653.0
2026,1,PASAJES,222705.0
2026,1,PUBLICIDAD,0.0
2026,1,TELEFONIA,117089.0
2026,1,VEHICULOS,180053.0
2026,1,VIATICOS,1111525.0
